Country;Population;Change;Migrants;World
Germany;82293457;179233;355425;1.08%
U.K.;66573504;391919;198;0.87%
France;65233271;253723;72344;0.85%
Italy;59290969;-68931;52829;0.78%
Spain;46397452;43131;-114;0.61%
Poland;38104832;-6588;-14799;0.50%
Romania;19580634;-98672;-59999;0.26%
Netherlands;17084459;48521;12537;0.22%
Belgium;11498519;69183;51734;0.15%
Greece;11142161;-17612;-3236;0.15%
Czech Republic;10625250;6947;11999;0.14%
Portugal;10291196;-3831;-28;0.13%
Sweden;9982709;72008;50792;0.13%
Hungary;9688847;-32712;6;0.13%
Austria;8751820;16367;53434;0.11%
Bulgaria;7036848;-47723;-4894;0.09%
Denmark;5754356;20805;21368;0.08%
Finland;5542517;19286;16283;0.07%
Slovakia;5449816;2154;2269;0.07%
Ireland;4803748;42091;-27999;0.06%
Croatia;4164783;-2457;-6554;0.05%
Lithuania;2876475;-13822;-29243;0.04%
Slovenia;2081260;1284;3314;0.03%
Latvia;1929938;-19732;-16665;0.03%
Estonia;1306788;-2844;-2103;0.02%
Cyprus;1189085;9534;4502;0.02%
Luxembourg;590321;6866;9741;0.01%
Malta;432089;1254;1889;0.01%